first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,starts,team_id,team_name,squad_strength,status,League_Position,Season
Pedro,Porro,3,8,136,3090,54,877.4,839,365,20,720,208.5,7,0,3,25.6,55,DEF,35,18,Spurs,3,a,,2024
Sergio,Reguilón,0,6,74,1524,30,436.3,390.2,111,14,350,93.8,5,1,7,0.4,45,DEF,18,18,Spurs,3,a,,2024
Richarlison,de Andrade,11,4,122,1481,18,208.4,560.6,758,7,305,152.1,7,0,3,1.3,70,FWD,18,18,Spurs,3,a,,2024
Cristian,Romero,5,0,107,2790,46,161.9,841.8,252,15,591,125.9,7,1,7,4.5,50,DEF,33,18,Spurs,3,a,,2024
Pape Matar,Sarr,3,3,86,2063,27,373.3,406,317,4,397,110.2,9,0,9,0.4,50,MID,27,18,Spurs,3,a,,2024
Dane,Scarlett,0,0,4,19,0,0.4,2,6,0,10,0.8,0,0,0,0.8,45,FWD,0,18,Spurs,3,a,,2024
Oliver,Skipp,0,0,22,691,17,126.2,92,65,0,105,28.1,0,0,3,0.1,50,MID,5,18,Spurs,3,a,,2024
Manor,Solomon,0,2,14,196,2,144.3,73.4,61,2,53,28,0,0,1,0.1,55,MID,2,18,Spurs,3,a,,2024
Son,Heung-min,17,10,213,2934,51,921.9,993.2,1131,25,707,304.7,8,0,1,11.5,100,MID,34,18,Spurs,3,a,,2024
Djed,Spence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,45,DEF,0,18,Spurs,3,a,,2024
Destiny,Udogie,2,3,79,2391,43,357.9,534.8,279,8,402,117.3,5,1,5,5.2,50,DEF,28,18,Spurs,3,a,,2024
Micky,van de Ven,3,0,81,2341,38,56.7,561.6,85,10,501,70.5,5,0,5,7.8,45,DEF,27,18,Spurs,3,a,,2024
Alejo,Véliz,1,0,11,45,2,0.9,35.2,29,0,40,6.5,0,0,1,0.1,50,FWD,0,18,Spurs,3,a,,2024
Guglielmo,Vicario,0,0,112,3420,61,0,974.2,0,9,730,97.4,7,0,2,5.1,50,GK,38,18,Spurs,3,a,,2024
Timo,Werner,2,4,46,808,16,239,179,305,5,173,72.3,0,0,1,0.5,65,MID,10,18,Spurs,3,a,,2024
Alfie,Whiteman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,40,GK,0,18,Spurs,3,a,,2024
Edson,Álvarez Velázquez,1,1,62,2375,45,193.1,545.8,89,3,345,82.7,5,0,11,0.3,50,MID,28,19,West Ham,3,a,,2024
Michail,Antonio,6,2,78,1692,34,132.2,308.6,395,8,228,82.7,5,0,6,0.9,55,FWD,21,19,West Ham,3,a,,2024
Alphonse,Areola,0,0,116,2700,53,0,1023.2,0,11,598,102.4,4,0,1,11,45,GK,31,19,West Ham,3,a,,2024
Jarrod,Bowen,16,6,182,3020,63,463.8,890.4,1130,14,519,247.8,5,0,2,7.3,75,MID,34,19,West Ham,3,a,,2024
Maxwel,Cornet,1,0,13,109,3,48.4,44,54,0,40,14.6,0,0,0,0,50,MID,1,19,West Ham,3,a,,2024
Vladimír,Coufal,0,7,85,3135,70,500,661.6,92,9,514,125.6,4,1,5,0.9,45,DEF,36,19,West Ham,3,a,,2024
Aaron,Cresswell,0,0,10,431,11,77.2,58.8,2,0,71,13.9,0,0,1,1.9,40,DEF,4,19,West Ham,3,a,,2024
George,Earthy,1,0,8,33,0,2,32.8,33,0,27,6.9,0,0,0,0.2,45,MID,0,19,West Ham,3,a,,2024
Emerson,Palmieri dos Santos,1,4,82,3138,67,400.2,649,168,8,519,121.8,5,0,10,0.6,45,DEF,35,19,West Ham,3,a,,2024
Łukasz,Fabiański,0,0,24,721,21,0,245.6,0,1,152,24.6,1,0,0,8.5,40,GK,7,19,West Ham,3,a,,2024
Wes,Foderingham,0,0,70,2648,79,10,966,0,7,531,97.7,1,0,2,0.3,45,GK,29,19,West Ham,3,a,,2024
Danny,Ings,1,2,36,389,10,64.4,82.4,125,4,105,27.1,0,0,1,0.7,50,FWD,3,19,West Ham,3,a,,2024
Max,Kilman,2,0,82,3420,65,233.1,853.6,212,3,592,130.2,5,0,7,0.9,45,DEF,38,19,West Ham,3,a,,2024
Mohammed,Kudus,8,9,137,2485,61,472.9,667.2,566,13,476,170.8,3,0,6,10,65,MID,27,19,West Ham,3,a,,2024
Luis Guilherme,Lira dos Santos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,50,MID,0,19,West Ham,3,a,,2024
Lucas,Tolentino Coelho de Lima,4,6,100,2627,52,722.3,570.6,343,7,398,163.7,4,0,10,1.2,60,MID,31,19,West Ham,3,a,,2024
Konstantinos,Mavropanos,1,0,40,1500,27,41.9,300.2,112,3,229,45.3,3,0,2,0.2,45,DEF,16,19,West Ham,3,a,,2024
Nayef,Aguerd,1,0,36,1857,44,58.1,439.4,145,0,282,64.4,2,1,1,0.2,45,DEF,21,19,West Ham,3,a,,2024
Tomáš,Souček,7,2,116,2867,64,262.5,751.6,488,9,456,150.3,5,0,7,2.3,50,MID,34,19,West Ham,3,a,,2024
James,Ward-Prowse,7,7,146,3000,65,1023.5,831,324,19,708,217.5,5,0,4,1.7,65,MID,34,19,West Ham,3,a,,2024
Kurt,Zouma,3,0,76,2838,63,55.1,636.8,227,6,444,92,3,0,3,0.6,45,DEF,32,19,West Ham,3,a,,2024
Andy,Irving,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,MID,0,19,West Ham,3,a,,2024
Rayan,Aït-Nouri,2,3,77,2327,43,376.9,448.4,253,6,365,107.7,3,0,7,3.8,45,DEF,29,20,Wolves,3,a,,2024
Boubacar,Traoré,0,0,25,802,23,106.5,114.4,27,0,122,25.2,0,0,4,0.1,50,MID,7,20,Wolves,3,a,,2024
Jean-Ricner,Bellegarde,2,2,45,948,24,170.1,189.8,163,1,150,52.2,0,1,0,0,50,MID,10,20,Wolves,3,a,,2024
Daniel,Bentley,0,0,18,382,7,0,70.8,0,1,73,7.1,2,0,0,1.3,40,GK,3,20,Wolves,3,a,,2024
Francisco Jorge,Tomás Oliveira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,45,MID,0,20,Wolves,3,a,,2024
Tawanda,Chirewa,0,0,8,138,2,24.7,22,21,0,21,6.6,0,0,1,0.1,45,MID,1,20,Wolves,3,a,,2024
Leon,Chiwome,0,0,5,173,4,1.2,7.8,13,0,12,2.2,0,0,0,0.4,45,FWD,2,20,Wolves,3,a,,2024
Luke,Cundle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,45,MID,0,20,Wolves,3,a,,2024
Matheus,Santos Carneiro Da Cunha,12,7,135,2438,46,409.8,786,872,15,520,206.4,6,0,9,3,65,FWD,29,20,Wolves,3,a,,2024
Craig,Dawson,1,1,69,2209,38,108.6,611.8,222,6,421,94.4,6,0,7,0.2,45,DEF,25,20,Wolves,3,a,,2024
Matt,Doherty,1,0,41,1136,21,168.1,237.8,122,1,186,52.9,1,0,2,0.2,45,DEF,9,20,Wolves,3,a,,2024
Tommy,Doyle,0,0,38,1209,24,173.7,198.4,55,0,197,42.7,3,0,2,0.1,50,MID,11,20,Wolves,3,a,,2024
Fábio,Silva,0,0,8,259,8,51.6,25.2,93,0,7,16.9,1,0,2,0.3,50,FWD,3,20,Wolves,3,a,,2024
Nathan,Fraser,0,0,7,183,3,29.2,22.4,36,0,17,8.6,1,0,1,5,45,FWD,1,20,Wolves,3,a,,2024
Enso,González,0,0,1,1,0,0.8,0.2,0,0,3,0.1,0,0,0,0.1,45,MID,0,20,Wolves,3,a,,2024
Gonçalo Manuel,Ganchinho Guedes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,55,MID,0,20,Wolves,3,a,,2024
Hugo,Bueno López,0,0,29,727,16,122.1,139.4,30,0,136,29,2,0,1,0.1,45,DEF,7,20,Wolves,3,a,,2024
Hwang,Hee-chan,12,3,125,2116,37,259.9,534.2,614,10,334,140.7,3,0,6,1.5,65,MID,25,20,Wolves,3,a,,2024
Joe,Hodge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,45,MID,0,20,Wolves,3,a,,2024
Ki-Jana,Hoever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,40,DEF,0,20,Wolves,3,a,,2024
João Victor,Gomes da Silva,2,2,75,2646,51,372.3,493.2,196,3,359,106.1,4,0,11,0.1,50,MID,32,20,Wolves,3,a,,2024
José,Malheiro de Sá,0,1,107,3037,58,11,1003.4,0,8,622,101.6,4,0,1,2.8,45,GK,35,20,Wolves,3,a,,2024
Saša,Kalajdžić,2,0,24,158,2,48.7,94,66,4,88,20.7,1,0,0,0.1,50,FWD,1,20,Wolves,3,a,,2024
Tom,King,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,GK,0,20,Wolves,3,a,,2024
Mario,Lemina,4,1,95,2969,55,333.6,621.6,470,13,490,142.7,4,1,10,0.2,50,MID,34,20,Wolves,3,a,,2024
Yerson,Mosquera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,40,DEF,0,20,Wolves,3,a,,2024
Nélson,Cabral Semedo,0,2,63,3084,62,395.7,508.8,165,0,455,107.2,5,1,10,0,45,DEF,36,20,Wolves,3,s,,2024
Pedro,Lomba Neto,2,11,86,1516,27,599.2,371.4,389,8,310,135.5,3,0,4,1.2,65,MID,18,20,Wolves,3,a,,2024
Pedro,Cardoso de Lima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,40,DEF,0,20,Wolves,3,a,,2024
Daniel,Castelo Podence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,55,MID,0,20,Wolves,3,a,,2024
Rodrigo,Martins Gomes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,55,MID,0,20,Wolves,3,a,,2024
Santiago,Bueno,0,0,13,819,18,27.1,173.8,2,0,124,20.3,0,0,1,0.2,45,DEF,9,20,Wolves,3,a,,2024
Pablo,Sarabia,4,7,99,1737,27,795.3,469.2,418,8,358,168.4,6,0,5,0.3,55,MID,20,20,Wolves,3,a,,2024
Jørgen,Strand Larsen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,55,FWD,0,20,Wolves,3,a,,2024
Toti António,Gomes,1,4,82,2771,49,117.7,550,167,6,468,83.7,4,0,7,0.3,45,DEF,31,20,Wolves,3,a,,2024
