first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,starts,team_id,team_name,squad_strength,status,Season
Filip,Marschall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,GK,0,2,Aston Villa,3,u,2022
Kadan,Young,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,0,2,Aston Villa,3,i,2022
Alexandre,Moreno Lopera,0,3,72,1325,10,321.1,254.4,151,5,278,72.3,7,0,3,2.1,45,DEF,14,2,Aston Villa,3,i,2022
Viljami,Sinisalo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,GK,0,2,Aston Villa,3,a,2022
Jhon,Durán,0,0,11,126,4,13.4,12.8,51,0,15,7.4,0,0,1,0,55,FWD,0,2,Aston Villa,3,a,2022
Sil,Swinkels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF,0,2,Aston Villa,3,a,2022
Oliwier,Zych,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,GK,0,2,Aston Villa,3,a,2022
James,Wright,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,GK,0,2,Aston Villa,3,a,2022
Sebastian,Revan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF,0,2,Aston Villa,3,a,2022
Travis,Patterson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,0,2,Aston Villa,3,a,2022
Tommi,O'Reilly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,0,2,Aston Villa,3,a,2022
Adam,Smith,0,1,74,2940,58,261.6,406.2,88,5,400,75.7,7,0,11,0.2,43,DEF,34,3,Bournemouth,2,a,2022
Junior,Stanislas,0,0,4,58,1,22.9,10,7,0,13,3.9,0,0,0,0,48,MID,0,3,Bournemouth,2,i,2022
Ryan,Fredericks,0,0,12,527,11,26.7,66,12,0,63,10.6,0,0,1,0,44,DEF,5,3,Bournemouth,2,i,2022
David,Brooks,0,0,5,170,4,16.4,13.6,31,0,7,6,0,0,1,0,53,MID,2,3,Bournemouth,2,a,2022
Jamal,Lowe,0,0,2,11,0,0.3,0.2,0,0,6,0.1,0,0,0,0,52,MID,0,3,Bournemouth,2,u,2022
Kieffer,Moore,4,0,57,1269,34,89.6,216.2,272,3,161,57.3,3,0,1,0.7,49,FWD,12,3,Bournemouth,2,a,2022
Emiliano,Marcondes,0,0,1,8,1,0,1.2,0,0,3,0.1,0,0,0,0,47,MID,0,3,Bournemouth,2,u,2022
Jefferson,Lerma Solís,5,0,101,3252,67,293.6,616.6,311,5,500,122.1,7,0,7,0.5,47,MID,37,3,Bournemouth,2,a,2022
Jack,Stacey,0,0,6,293,10,8.6,44.2,8,0,36,6,0,0,2,0,42,DEF,3,3,Bournemouth,2,a,2022
Dominic,Solanke,6,10,130,2865,52,279.9,524.8,1046,14,339,184.4,8,0,2,3.6,56,FWD,32,3,Bournemouth,2,a,2022
Lewis,Cook,0,2,51,1712,39,352.5,313,45,1,280,71.2,3,0,4,0.1,49,MID,18,3,Bournemouth,2,a,2022
Ben,Pearson,0,0,9,282,10,6.4,21,9,0,32,3.7,1,0,1,0.1,44,MID,3,3,Bournemouth,2,u,2022
Ryan,Christie,1,2,64,1825,35,421.7,282,400,2,225,110.5,3,0,2,0.1,53,MID,22,3,Bournemouth,2,a,2022
Philip,Billing,7,2,126,2766,54,388.8,622,441,14,475,145.2,9,0,5,0.9,50,MID,34,3,Bournemouth,2,d,2022
Chris,Mepham,0,0,43,2197,52,54.4,556.4,134,6,369,74.4,5,0,7,0.1,43,DEF,24,3,Bournemouth,2,a,2022
Mark,Travers,0,0,28,1035,32,0,253,0,1,193,25.4,2,0,0,0.4,41,GK,11,3,Bournemouth,2,a,2022
Lloyd,Kelly,0,2,60,2040,38,97.7,394,26,5,372,52.1,5,0,3,0.5,43,DEF,23,3,Bournemouth,2,a,2022
Siriki,Dembélé,0,0,6,104,2,52.3,31.8,28,0,20,11.3,0,0,0,0.1,47,MID,0,3,Bournemouth,2,u,2022
Jaidon,Anthony,3,1,61,1241,29,209.1,299.4,263,4,193,77.2,2,0,2,0.1,52,MID,11,3,Bournemouth,2,a,2022
Jordan,Zemura,0,1,47,1452,31,232.8,269.4,71,1,235,57.1,5,0,1,0.1,42,DEF,17,3,Bournemouth,2,a,2022
Will,Dennis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,39,GK,0,3,Bournemouth,2,u,2022
Jack,Stephens,0,0,35,1218,24,57.3,270,51,1,233,38,4,0,3,0,43,DEF,13,3,Bournemouth,2,a,2022
Joe,Rothwell,0,1,33,1010,15,153.3,127.4,27,0,167,30.6,3,0,1,0,49,MID,12,3,Bournemouth,2,d,2022
Marcus,Tavernier,5,4,94,1740,37,348.4,459.8,436,12,315,124.2,5,0,1,0.2,47,MID,19,3,Bournemouth,2,i,2022
James,Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,DEF,0,3,Bournemouth,2,u,2022
Darren,Randolph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,40,GK,0,3,Bournemouth,2,a,2022
Norberto,Murara Neto,0,0,93,2385,39,0,727.6,0,9,510,72.8,6,0,4,0.6,45,GK,27,3,Bournemouth,2,a,2022
Marcos,Senesi,2,0,69,2489,55,78.7,586,109,5,462,77.5,5,0,7,0.2,44,DEF,29,3,Bournemouth,2,a,2022
Christian,Saydee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,FWD,0,3,Bournemouth,2,u,2022
Owen,Bevan,0,0,1,8,1,0,0.2,0,0,3,0,0,0,0,0,40,DEF,0,3,Bournemouth,2,u,2022
Cameron,Plain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,GK,0,3,Bournemouth,2,a,2022
Daniel,Adu-Adjei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,FWD,0,3,Bournemouth,2,a,2022
Michael,Dacosta Gonzalez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,MID,0,3,Bournemouth,2,a,2022
Dominic,Sadi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,FWD,0,3,Bournemouth,2,a,2022
Dango,Ouattara,1,3,49,1239,23,261,276.8,274,4,163,81,1,0,1,0,50,MID,15,3,Bournemouth,2,a,2022
Euan,Pollock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,FWD,0,3,Bournemouth,2,a,2022
Antoine,Semenyo,1,0,18,250,6,26.5,50,32,1,56,10.7,0,0,0,0,50,FWD,2,3,Bournemouth,2,i,2022
Matías,Viña,2,0,28,452,10,28.1,156.4,92,0,93,27.7,1,0,1,0.1,45,DEF,5,3,Bournemouth,2,a,2022
Illia,Zabarnyi,0,0,7,297,5,0.9,41.2,0,0,54,4.1,0,0,0,0,45,DEF,3,3,Bournemouth,2,a,2022
Hamed,Traorè,0,0,14,425,8,218.5,84,36,0,60,33.8,2,0,0,0,45,MID,5,3,Bournemouth,2,d,2022
Ben,Greenwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF,0,3,Bournemouth,2,a,2022
Max,Kinsey-Wellings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF,0,3,Bournemouth,2,a,2022
Pontus,Jansson,1,0,29,722,14,2.5,176.2,53,0,147,23.4,2,0,0,0.3,42,DEF,9,4,Brentford,3,i,2022
Christian,Nørgaard,1,6,71,1763,23,173.7,379.2,269,6,309,82.3,6,0,6,0.2,53,MID,21,4,Brentford,3,i,2022
Ivan,Toney,20,4,182,2953,42,424.3,926.8,1240,35,607,258.7,10,0,9,18.2,71,FWD,33,4,Brentford,3,s,2022
David,Raya Martin,0,0,166,3420,46,20.1,1125.4,4,20,822,115.2,12,0,1,14.4,48,GK,38,4,Brentford,3,a,2022
Sergi,Canós Tenés,0,0,5,73,2,13.5,7,6,0,14,2.8,0,0,0,0.1,50,DEF,0,4,Brentford,3,u,2022
Josh,Dasilva,4,2,81,1371,17,206.1,304.2,182,3,274,69.2,5,0,1,3.8,41,MID,14,4,Brentford,3,a,2022
Kristoffer,Ajer,0,0,29,763,14,24.7,96.8,27,0,129,15.1,4,0,0,0.1,45,DEF,9,4,Brentford,3,a,2022
Rico,Henry,0,3,112,3240,46,401.9,444.4,197,4,505,104.5,11,0,4,2.6,44,DEF,37,4,Brentford,3,a,2022
Vitaly,Janelt,3,1,85,2201,28,246.1,411.2,223,5,357,88.1,8,0,3,0.1,55,MID,24,4,Brentford,3,a,2022
Saman,Ghoddos,0,0,15,124,5,62.8,27.2,21,0,53,11.1,0,0,0,0,48,MID,0,4,Brentford,3,a,2022
Mathias,Jensen,5,7,132,2805,40,787.9,644,208,11,498,164.1,10,0,5,1.8,48,MID,37,4,Brentford,3,a,2022
Yoane,Wissa,7,4,111,1587,17,184.5,363.8,414,6,292,95.5,7,0,3,0.3,53,MID,16,4,Brentford,3,a,2022
Mads,Roerslev Rasmussen,0,0,48,1101,12,120.6,167.6,46,0,201,33.4,5,0,0,0.1,43,DEF,12,4,Brentford,3,a,2022
Mads,Bech Sørensen,0,0,4,18,0,0.2,2.6,0,0,12,0.2,0,0,0,0,45,DEF,0,4,Brentford,3,u,2022
Ethan,Pinnock,3,0,112,2700,34,104.9,751.6,279,6,575,113.8,10,0,0,0.9,44,DEF,30,4,Brentford,3,a,2022
Frank,Onyeka,0,3,38,837,11,89.9,125.8,106,0,111,32.3,3,0,0,0,48,MID,8,4,Brentford,3,a,2022
Shandon,Baptiste,0,2,29,600,6,144.5,107.8,54,0,123,30.7,1,1,1,0.2,45,MID,4,4,Brentford,3,a,2022
Bryan,Mbeumo,9,9,150,2905,39,766.3,662.4,866,19,556,229.3,10,0,5,4,57,FWD,36,4,Brentford,3,a,2022
Charlie,Goode,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,39,DEF,0,4,Brentford,3,u,2022
Marcus,Forss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,FWD,0,4,Brentford,3,u,2022
Dominic,Thompson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF,0,4,Brentford,3,u,2022
Mads,Bidstrup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,0,4,Brentford,3,u,2022
Ellery,Balcombe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,GK,0,4,Brentford,3,u,2022
Aaron,Hickey,0,3,63,1918,30,119.8,223.6,98,2,310,44.2,5,0,7,0.3,49,DEF,23,4,Brentford,3,a,2022
Keane,Lewis-Potter,0,1,14,313,4,64,42,114,0,37,21.9,0,0,0,0,52,MID,3,4,Brentford,3,i,2022
Thomas,Strakosha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,43,GK,0,4,Brentford,3,a,2022
Ben,Mee,3,2,143,3269,40,92,761.4,307,11,643,116.3,12,0,2,14.4,48,DEF,37,4,Brentford,3,a,2022
Fin,Stevens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,40,DEF,0,4,Brentford,3,u,2022
Halil,Dervişoğlu,0,1,4,6,0,0,0,10,0,11,1,0,0,0,0.5,45,FWD,0,4,Brentford,3,u,2022
Mikkel,Damsgaard,0,0,33,970,14,161,137.4,146,0,131,44.5,3,0,4,0.1,50,MID,9,4,Brentford,3,a,2022
Mathias,Jorgensen,0,1,45,1097,15,18.2,189.8,45,4,191,25.6,4,0,2,0.9,39,DEF,11,4,Brentford,3,a,2022
Ryan,Trevitt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,MID,0,4,Brentford,3,a,2022
Matthew,Cox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,GK,0,4,Brentford,3,i,2022
Tristan,Crama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF,0,4,Brentford,3,a,2022
Yegor,Yarmolyuk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,0,4,Brentford,3,a,2022
Kevin,Schade,0,1,29,723,7,110.4,72.2,205,0,76,38.7,3,0,2,0,49,MID,7,4,Brentford,3,a,2022
Michael,Olakigbe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,0,4,Brentford,3,a,2022
Adam,Lallana,2,1,47,717,10,186.7,144.2,152,4,146,48.5,5,0,0,0.1,48,MID,12,5,Brighton,3,i,2022
Jason,Steele,0,1,65,1350,23,13,347.6,0,8,332,36.1,6,0,1,6,40,GK,15,5,Brighton,3,a,2022
Danny,Welbeck,6,5,91,1844,28,390.6,378.2,782,5,296,155.4,6,0,0,2.1,65,FWD,21,5,Brighton,3,a,2022
Pascal,Groß,9,8,159,3240,51,1215.4,888.4,578,14,748,268.6,11,0,7,11,54,MID,37,5,Brighton,3,a,2022
Lewis,Dunk,1,1,112,3240,50,163.6,661.4,198,7,648,102.4,12,0,4,8.2,48,DEF,36,5,Brighton,3,a,2022
Solly,March,6,10,147,2719,40,965.8,791.8,955,16,559,271.4,10,0,2,4.4,52,MID,31,5,Brighton,3,d,2022
Adam,Webster,0,0,75,1983,27,104,354,126,3,405,58.4,9,0,2,0.5,45,DEF,23,5,Brighton,3,a,2022
Joël,Veltman,1,1,95,2183,29,200.8,406.2,162,6,447,77.2,10,0,6,2.4,46,DEF,25,5,Brighton,3,a,2022
Robert,Sánchez,0,0,82,2070,30,0.1,439,0,10,380,43.9,6,0,2,7.6,44,GK,23,5,Brighton,3,a,2022
Tariq,Lamptey,0,0,23,439,7,87.2,70.6,48,0,91,20.6,1,0,1,0.9,42,DEF,3,5,Brighton,3,i,2022
Steven,Alzate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,44,MID,0,5,Brighton,3,u,2022
Alexis,Mac Allister,10,2,140,2882,45,729.6,741,706,18,567,217.8,10,0,8,14.7,56,MID,31,5,Brighton,3,a,2022
Jakub,Moder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,MID,0,5,Brighton,3,i,2022
Enock,Mwepu,0,1,11,209,4,39,48.8,34,0,29,12.2,0,0,0,0,53,MID,2,5,Brighton,3,u,2022
Jeremy,Sarmiento Morante,0,2,16,168,2,38.2,46.6,50,0,40,12.9,1,0,1,0,45,MID,1,5,Brighton,3,i,2022
Moisés,Caicedo Corozo,1,1,79,3138,47,668.6,582.2,210,0,503,146.3,10,0,10,0.4,50,MID,34,5,Brighton,3,a,2022
Taylor,Richards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,0,5,Brighton,3,u,2022
Haydon,Roberts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF,0,5,Brighton,3,u,2022
Deniz,Undav,5,2,52,614,9,105.7,157.6,333,4,173,59.5,2,0,2,0.8,50,FWD,6,5,Brighton,3,a,2022
Kaoru,Mitoma,7,9,138,2311,35,567.6,566.8,857,11,457,198.9,8,0,0,27.3,57,MID,24,5,Brighton,3,a,2022
Julio,Enciso,4,3,57,794,12,161,255.8,370,7,189,78.5,4,0,1,2.4,46,FWD,7,5,Brighton,3,a,2022
Kacper,Kozłowski,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,0,5,Brighton,3,u,2022
Billy,Gilmour,0,1,21,502,8,56.5,67.6,33,0,105,15.8,2,0,1,0.4,42,MID,7,5,Brighton,3,a,2022
Kjell,Scherpen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,GK,0,5,Brighton,3,u,2022
Matt,Clarke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,40,DEF,0,5,Brighton,3,u,2022
Jan Paul,van Hecke,0,0,6,291,7,5.5,62.8,10,0,54,7.9,0,0,2,0.3,40,DEF,3,5,Brighton,3,a,2022
Levi,Colwill,0,2,46,1218,21,100.7,222,50,6,249,37.4,3,0,1,0.2,44,DEF,13,5,Brighton,3,a,2022
Pervis,Estupiñán,1,7,128,2674,43,752.9,570.2,295,15,593,161.3,10,0,4,20.5,50,DEF,31,5,Brighton,3,a,2022
Evan,Ferguson,6,2,65,942,12,129.1,284.2,350,8,213,76.5,6,0,1,1.7,46,FWD,10,5,Brighton,3,a,2022
Ed,Turns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF,0,5,Brighton,3,u,2022
Andrew,Moran,0,0,1,11,1,0,0,0,0,3,0,0,0,0,0,45,MID,0,5,Brighton,3,a,2022
James,Furlong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF,0,5,Brighton,3,u,2022
Jack,Hinshelwood,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,45,MID,0,5,Brighton,3,a,2022
Facundo,Buonanotte,1,1,26,558,12,96.1,87.8,102,2,72,27.8,1,0,2,0.1,45,MID,6,5,Brighton,3,a,2022
Yasin,Ayari,0,0,3,65,2,25.3,5.4,3,0,14,3.3,0,0,0,0,45,MID,1,5,Brighton,3,a,2022
Odeluga,Offiah,0,0,1,23,3,1.5,6.2,0,0,10,0.8,0,0,0,0,40,DEF,0,5,Brighton,3,a,2022
Tom,McGill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,GK,0,5,Brighton,3,a,2022
Cameron,Peupion,0,0,1,5,2,0.3,0,5,0,3,0.5,0,0,0,0,45,MID,0,5,Brighton,3,a,2022
Imari,Samuels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF,0,5,Brighton,3,i,2022
Carney,Chukwuemeka,0,0,18,342,7,69.7,57.6,72,0,71,19.9,1,0,0,0.3,42,MID,2,6,Chelsea,3,a,2022
Marc,Cucurella Saseta,0,2,65,1669,20,232.5,354.4,72,1,363,65.9,6,0,4,5,49,DEF,21,6,Chelsea,3,d,2022
César,Azpilicueta,0,0,45,1521,21,206.7,259.2,93,4,242,55.8,3,0,3,1.2,47,DEF,16,6,Chelsea,3,a,2022
Thiago,Emiliano da Silva,0,2,80,2351,32,86.1,657.2,137,8,524,88,6,0,2,5.7,54,DEF,26,6,Chelsea,3,a,2022
Marcos,Alonso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,53,DEF,0,6,Chelsea,3,u,2022
Ross,Barkley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,MID,0,6,Chelsea,3,u,2022
