first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,starts,team_id,team_name,squad_strength,status,Season
Granit,Xhaka,7,8,153,2992,35,673.3,647,498,15,634,182,13,0,4,2.7,48,MID,36,1,Arsenal,4,a,2022
Mohamed,Elneny,0,0,6,111,2,5.4,4.6,0,0,27,1.1,0,0,0,0.6,41,MID,1,1,Arsenal,4,i,2022
Rob,Holding,1,0,21,562,13,10.3,152,54,0,120,21.6,0,0,0,0.2,42,DEF,6,1,Arsenal,4,a,2022
Thomas,Partey,3,0,86,2480,28,439.6,513.2,240,6,468,119.5,11,0,5,0.4,47,MID,28,1,Arsenal,4,a,2022
Martin,Ødegaard,15,8,212,3132,38,1100.4,960,920,30,813,298.3,13,0,4,33.3,69,MID,37,1,Arsenal,4,a,2022
Kieran,Tierney,0,1,37,774,10,85.5,144,67,0,164,29.9,1,0,0,0.8,46,DEF,6,1,Arsenal,4,a,2022
Nicolas,Pépé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,53,MID,0,1,Arsenal,4,u,2022
Benjamin,White,2,5,156,3054,35,491.2,649,159,12,734,130,15,0,5,16.1,50,DEF,36,1,Arsenal,4,a,2022
Eddie,Nketiah,4,2,63,1071,16,128.2,213.4,598,5,161,93.1,2,0,3,1.8,63,FWD,9,1,Arsenal,4,a,2022
Emile,Smith Rowe,0,2,18,161,5,64.3,36.6,39,0,60,13.8,0,0,0,0.4,56,MID,0,1,Arsenal,4,a,2022
Bukayo,Saka,14,12,202,3183,42,1091.8,972.2,1164,19,678,322.8,12,0,6,25.6,80,MID,37,1,Arsenal,4,d,2022
Takehiro,Tomiyasu,0,1,32,651,11,86.6,137,55,0,173,27.7,2,0,2,0.5,42,DEF,6,1,Arsenal,4,i,2022
Aaron,Ramsdale,0,0,143,3420,43,0,761.4,0,9,664,76.2,14,0,1,11.4,48,GK,38,1,Arsenal,4,a,2022
Gabriel,dos Santos Magalhães,3,0,146,3409,43,129.7,733.8,401,15,723,126.5,14,0,5,13.4,52,DEF,38,1,Arsenal,4,a,2022
Nuno,Varela Tavares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,DEF,0,1,Arsenal,4,u,2022
Gabriel,Martinelli Silva,15,9,198,2789,33,838.1,844.2,1300,18,648,298.1,14,0,3,26.3,65,MID,34,1,Arsenal,4,i,2022
Pablo,Marí Villar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,DEF,0,1,Arsenal,4,u,2022
Lucas,Torreira di Pascua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,45,MID,0,1,Arsenal,4,u,2022
Reiss,Nelson,3,3,42,202,3,99.2,169.8,155,5,127,42.4,1,0,0,0,47,MID,0,1,Arsenal,4,d,2022
Matt,Turner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,38,GK,0,1,Arsenal,4,a,2022
Fábio,Ferreira Vieira,1,2,40,500,5,180.1,115.2,123,2,134,41.4,2,0,0,0.1,56,MID,3,1,Arsenal,4,a,2022
William,Saliba,2,1,117,2415,25,100.8,529,114,14,571,74.5,12,0,4,15.6,49,DEF,27,1,Arsenal,4,i,2022
Marcus,Oliveira Alencar,0,0,1,1,0,0.2,0,0,0,3,0,0,0,0,0.1,46,MID,0,1,Arsenal,4,u,2022
Gabriel,Fernando de Jesus,11,7,125,2064,23,407.3,594.2,1282,17,401,228.3,9,0,6,28.3,81,FWD,24,1,Arsenal,4,a,2022
Leandro,Trossard,8,13,154,2237,38,687.1,620,859,8,494,216.6,8,0,1,7.2,66,MID,26,1,Arsenal,4,d,2022
Jorge Luiz,Frello Filho,2,2,79,2127,23,254.1,386.4,97,5,379,73.9,9,0,4,1.9,57,MID,24,1,Arsenal,4,a,2022
Oleksandr,Zinchenko,1,2,99,2122,28,387.7,405,190,8,500,98.3,10,0,3,9,50,DEF,26,1,Arsenal,4,i,2022
Matthew,Smith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,44,MID,0,1,Arsenal,4,a,2022
Ethan,Nwaneri,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,45,MID,0,1,Arsenal,4,i,2022
Lino,Sousa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,40,DEF,0,1,Arsenal,4,a,2022
Karl,Hein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,GK,0,1,Arsenal,4,a,2022
Amario,Cozier-Duberry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,0,1,Arsenal,4,a,2022
Nathan,Butler-Oyedeji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,FWD,0,1,Arsenal,4,u,2022
Jakub,Kiwior,1,0,26,425,6,4.1,53.6,4,1,111,6.3,2,0,0,0.3,40,DEF,5,1,Arsenal,4,a,2022
Reuell,Walters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF,0,1,Arsenal,4,a,2022
Mauro,Bandeira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,0,1,Arsenal,4,a,2022
Philippe,Coutinho Correia,1,0,32,777,9,152.5,119.2,218,1,98,48.8,3,0,3,2.9,66,MID,7,2,Aston Villa,3,i,2022
Emiliano,Martínez Romero,0,0,135,3139,38,23,813,0,15,678,83.5,11,0,7,6.6,50,GK,36,2,Aston Villa,3,a,2022
Calum,Chambers,0,0,13,345,4,29.8,74.4,8,0,67,11.1,0,0,2,0.2,42,DEF,2,2,Aston Villa,3,a,2022
Lucas,Digne,1,0,50,1492,25,293.3,271.4,92,4,234,65.8,3,0,5,1.2,45,DEF,18,2,Aston Villa,3,a,2022
Bertrand,Traoré,2,0,20,226,1,30.7,82,79,1,57,19,1,0,1,0.1,49,MID,1,2,Aston Villa,3,a,2022
Robin,Olsen,0,0,10,280,8,0,83.2,0,1,62,8.2,1,0,0,1.4,39,GK,2,2,Aston Villa,3,a,2022
Morgan,Sanson,0,0,2,10,1,0.5,4.2,0,0,6,0.4,0,0,0,0.2,43,MID,0,2,Aston Villa,3,u,2022
John,McGinn,1,5,90,2692,31,349.2,375,326,3,354,105.1,10,0,7,0.6,51,MID,30,2,Aston Villa,3,a,2022
Kortney,Hause,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,DEF,0,2,Aston Villa,3,u,2022
Tyrone,Mings,1,3,130,3150,40,87.7,657.2,121,17,617,87,12,0,7,12.5,47,DEF,35,2,Aston Villa,3,a,2022
Ollie,Watkins,15,8,175,3129,40,408.5,792,1268,25,550,247,13,0,4,12.8,73,FWD,36,2,Aston Villa,3,a,2022
Marvelous,Nakamba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,43,MID,0,2,Aston Villa,3,u,2022
Emiliano,Buendía Stati,5,3,117,2404,34,546.3,438.2,580,8,370,156.6,11,0,0,0.7,57,MID,27,2,Aston Villa,3,a,2022
Matty,Cash,0,2,57,1817,29,178,298.4,67,3,311,54.4,4,0,4,3.1,46,DEF,20,2,Aston Villa,3,a,2022
Ezri,Konsa Ngoyo,0,0,110,3322,45,116.1,560.4,72,6,633,74.9,12,0,6,1,44,DEF,37,2,Aston Villa,3,a,2022
Leon,Bailey,4,5,100,1964,32,439.1,334.2,532,6,242,130.1,8,0,4,2.7,43,MID,26,2,Aston Villa,3,a,2022
Douglas Luiz,Soares de Paulo,6,7,142,2922,35,655.4,661.6,242,17,594,155.8,13,1,6,1,48,MID,33,2,Aston Villa,3,a,2022
Jacob,Ramsey,6,8,135,2634,33,496.7,607.2,424,13,470,152.8,11,0,5,1.5,51,MID,31,2,Aston Villa,3,a,2022
Tim,Iroegbunam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,0,2,Aston Villa,3,u,2022
Diego Carlos,Santos Silva,0,0,4,205,3,13.2,24.8,32,0,20,7,0,0,0,0.2,47,DEF,2,2,Aston Villa,3,a,2022
Anwar,El Ghazi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,MID,0,2,Aston Villa,3,u,2022
Keinan,Davis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,FWD,0,2,Aston Villa,3,u,2022
Boubacar,Kamara,0,1,44,1773,30,123.4,275.8,39,0,235,43.9,3,0,4,0.1,48,MID,21,2,Aston Villa,3,a,2022
Cameron,Archer,0,0,6,43,1,2.4,1.8,6,0,13,0.9,0,0,0,1.7,42,FWD,0,2,Aston Villa,3,u,2022
Jaden,Philogene-Bidace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,0,2,Aston Villa,3,u,2022
Frédéric,Guilbert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,39,DEF,0,2,Aston Villa,3,u,2022
Leander,Dendoncker,0,0,37,897,14,96.1,143.4,64,0,163,30.6,4,0,0,0.1,47,MID,9,2,Aston Villa,3,a,2022
Ludwig,Augustinsson,0,0,2,76,0,1.9,5.6,35,0,5,4.2,0,0,1,0,43,DEF,1,2,Aston Villa,3,u,2022
Kaine,Kesler Hayden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF,0,2,Aston Villa,3,u,2022
Ashley,Young,1,0,87,2031,28,223.4,380.2,81,8,388,68.7,9,0,7,0.8,43,DEF,23,2,Aston Villa,3,a,2022
Lamare,Bogarde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF,0,2,Aston Villa,3,u,2022
